season,game_id,team_id,opponent_id,round,venue,result,GF,GA,xG,xGA,Poss,captain_id,Formation,Opp Formation
2021,14,9617,18708,01,Away,W,3.0,0.0,1.9,0.1,54.0,1043.0,3-4-3,4-2-3-1
2021,15,9617,18747,02,Home,W,2.0,1.0,1.1,2.0,62.0,1043.0,3-4-3,5-4-1
2021,16,9617,1130849,03,Away,L,1.0,3.0,1.3,2.7,34.0,1043.0,3-4-3,4-3-3
2021,17,9617,19607,04,Home,W,2.0,1.0,0.6,0.2,64.0,1043.0,4-3-3,3-5-2
2021,18,9617,50602,05,Away,L,0.0,1.0,0.9,1.3,42.0,1043.0,4-3-3,3-1-4-2
2021,19,9617,19481,06,Home,L,0.0,1.0,0.7,0.7,56.0,1043.0,3-4-3,3-4-3
2021,20,9617,18656,07,Away,W,1.0,0.0,1.0,0.4,46.0,1043.0,3-4-3,4-1-2-1-2
2021,21,9617,18711,08,Home,L,0.0,3.0,1.5,1.8,59.0,1043.0,3-4-3,4-2-3-1
2021,22,9617,1128631,09,Away,D,0.0,0.0,0.9,1.8,34.0,1043.0,4-2-3-1,4-1-4-1
2021,23,9617,19500,10,Home,L,1.0,2.0,1.5,1.8,56.0,1043.0,4-2-3-1,4-2-3-1
2021,24,9617,18741,11,Away,L,0.0,2.0,0.6,0.3,69.0,1043.0,4-2-3-1,4-2-3-1
2021,25,9617,19458,12,Home,L,0.0,1.0,1.6,1.4,65.0,1043.0,4-2-3-1,4-4-1-1
2021,26,9617,18732,13,Home,D,1.0,1.0,0.6,1.2,36.0,1043.0,3-4-3,4-4-2
2021,27,9617,5794,14,Away,L,1.0,2.0,1.4,0.6,57.0,1079.0,3-4-3,4-2-3-1
2021,28,9617,9616,15,Home,W,3.0,1.0,2.0,2.6,40.0,484.0,4-2-3-1,4-3-3
2021,29,9617,19453,16,Away,W,1.0,0.0,1.1,0.8,50.0,1043.0,4-2-3-1,3-5-2
2021,30,9617,18744,17,Away,W,4.0,0.0,3.7,1.0,61.0,1043.0,4-2-3-1,4-4-1-1
2021,31,9617,19467,18,Home,D,0.0,0.0,0.4,0.8,67.0,1043.0,4-2-3-1,4-4-2
2021,32,9617,18716,19,Home,W,3.0,0.0,2.4,0.2,66.0,1043.0,4-2-3-1,4-4-2
2021,33,9617,18732,20,Away,W,3.0,1.0,2.2,0.8,42.0,484.0,4-2-3-1,4-4-2
2021,34,9617,18656,21,Home,D,0.0,0.0,0.9,1.6,43.0,484.0,4-2-3-1,4-2-3-1
2021,35,9617,19500,22,Away,L,1.0,2.0,0.8,1.5,45.0,484.0,4-2-3-1,4-2-3-1
2021,36,9617,18711,23,Away,L,0.0,1.0,0.8,1.2,65.0,484.0,4-2-3-1,4-2-3-1
2021,37,9617,1128631,24,Home,W,4.0,2.0,2.3,0.9,46.0,1043.0,4-2-3-1,4-1-4-1
2021,38,9617,50602,25,Home,L,0.0,1.0,0.3,1.8,45.0,1043.0,4-2-3-1,4-3-3
2021,39,9617,19481,26,Away,W,3.0,1.0,2.3,0.4,56.0,44.0,4-2-3-1,4-4-2
2021,40,9617,19458,27,Away,D,1.0,1.0,2.5,1.1,59.0,1043.0,4-2-3-1,4-4-2
2021,41,9617,18741,28,Home,W,2.0,1.0,1.7,0.4,52.0,44.0,4-2-3-1,4-2-3-1
2021,42,9617,18747,29,Away,D,3.0,3.0,1.4,2.4,62.0,1043.0,4-2-3-1,4-2-3-1
2021,43,9617,1130849,30,Home,L,0.0,3.0,0.1,2.4,36.0,1043.0,4-2-3-1,4-3-3
2021,44,9617,19607,31,Away,W,3.0,0.0,1.7,0.3,55.0,44.0,4-2-3-1,3-5-2
2021,45,9617,18708,32,Home,D,1.0,1.0,2.7,0.9,69.0,484.0,4-2-3-1,4-4-2
2021,46,9617,5794,33,Home,L,0.0,1.0,0.8,0.5,59.0,1079.0,4-2-3-1,4-2-3-1
2021,47,9617,18716,34,Away,W,2.0,0.0,2.0,0.3,61.0,1043.0,4-2-3-1,5-3-2
2021,48,9617,18744,35,Home,W,3.0,1.0,0.9,1.8,65.0,1079.0,4-2-3-1,4-4-1-1
2021,49,9617,9616,36,Away,W,1.0,0.0,0.6,1.8,33.0,1043.0,3-4-3,3-4-3
2021,50,9617,19467,37,Away,W,3.0,1.0,1.8,1.0,68.0,1043.0,4-2-3-1,4-3-3
2021,51,9617,19453,38,Home,W,2.0,0.0,0.8,0.2,54.0,1043.0,4-2-3-1,4-3-3
2021,52,18711,19607,02,Home,W,1.0,0.0,1.0,0.9,71.0,514.0,4-3-3,3-5-2
2021,53,18711,18708,03,Away,W,3.0,0.0,1.4,0.7,36.0,514.0,4-3-3,3-4-3
2021,54,18711,1130849,04,Home,W,7.0,2.0,2.7,1.8,31.0,514.0,4-2-3-1,4-3-3
2021,55,18711,19481,05,Away,W,1.0,0.0,0.7,0.6,50.0,514.0,4-2-3-1,4-1-4-1
2021,56,18711,1128631,06,Home,L,0.0,3.0,1.4,2.7,41.0,514.0,4-2-3-1,4-4-1-1
2021,57,18711,18732,07,Home,L,3.0,4.0,1.9,0.7,56.0,514.0,4-2-3-1,4-4-2
2021,21,18711,9617,08,Away,W,3.0,0.0,1.8,1.5,41.0,514.0,4-2-3-1,3-4-3
2021,58,18711,19453,09,Home,L,1.0,2.0,1.5,1.4,56.0,514.0,4-2-3-1,3-4-1-2
2021,59,18711,18747,10,Away,L,1.0,2.0,2.5,0.4,66.0,514.0,4-3-3,3-4-3
2021,60,18711,19500,12,Away,W,1.0,0.0,1.4,1.1,50.0,514.0,4-3-3,4-2-3-1
2021,61,18711,19458,13,Home,D,0.0,0.0,1.5,0.3,59.0,514.0,4-2-3-1,4-4-2
2021,62,18711,18744,14,Away,W,3.0,0.0,2.4,0.0,67.0,514.0,4-2-3-1,4-1-4-1
2021,63,18711,19467,15,Home,W,3.0,0.0,3.9,0.9,39.0,514.0,4-2-3-1,4-4-2
2021,64,18711,9616,16,Away,D,1.0,1.0,0.7,1.7,37.0,514.0,4-2-3-1,4-3-3
2021,65,18711,18656,17,Away,L,1.0,2.0,1.4,2.1,52.0,514.0,4-2-3-1,4-2-3-1
2021,66,18711,50602,01,Away,L,0.0,2.0,0.6,3.4,31.0,514.0,4-2-3-1,4-3-3
2021,67,18711,18716,11,Home,W,2.0,0.0,2.3,0.5,58.0,514.0,4-2-3-1,5-3-2
2021,68,18711,19458,20,Away,L,2.0,3.0,2.2,0.5,61.0,514.0,4-2-3-1,4-4-2
2021,69,18711,18732,21,Away,W,1.0,0.0,0.6,1.9,41.0,514.0,4-2-3-1,4-4-2
2021,70,18711,18747,22,Home,L,1.0,3.0,0.7,1.7,56.0,514.0,4-2-3-1,4-2-3-1
2021,36,18711,9617,23,Home,W,1.0,0.0,1.2,0.8,35.0,514.0,4-2-3-1,4-2-3-1
2021,71,18711,19453,24,Away,D,0.0,0.0,0.1,2.2,42.0,514.0,4-2-3-1,4-1-3-2
2021,72,18711,19481,25,Home,L,1.0,2.0,1.4,1.1,51.0,1253.0,4-2-3-1,4-2-3-1
2021,73,18711,1128631,26,Away,W,1.0,0.0,0.7,0.9,31.0,1253.0,4-3-3,4-1-4-1
2021,74,18711,19607,29,Away,L,0.0,1.0,2.3,0.9,72.0,1253.0,4-3-3,3-5-2
2021,75,18711,19500,27,Home,D,0.0,0.0,0.6,1.6,49.0,1253.0,4-3-3,3-4-3
2021,76,18711,18716,28,Away,D,1.0,1.0,0.9,1.5,51.0,1253.0,4-3-3,4-3-3
2021,77,18711,18741,18,Home,L,0.0,2.0,0.4,1.8,50.0,1253.0,4-2-3-1,4-4-2
2021,78,18711,18708,30,Home,W,3.0,1.0,1.5,1.0,53.0,1253.0,4-2-3-1,4-2-3-1
2021,79,18711,1130849,31,Away,L,1.0,2.0,0.5,2.3,35.0,1253.0,4-3-3,4-3-3
2021,80,18711,50602,32,Home,L,1.0,2.0,0.7,1.2,28.0,1253.0,4-1-4-1,4-3-3
2021,81,18711,18744,33,Home,D,2.0,2.0,3.2,1.5,70.0,1253.0,4-2-3-1,4-1-4-1
2021,82,18711,5794,34,Away,W,2.0,1.0,1.6,1.0,53.0,1253.0,4-2-3-1,4-2-3-1
2021,83,18711,18656,35,Home,L,1.0,3.0,0.5,1.7,41.0,1253.0,4-2-3-1,4-2-3-1
2021,84,18711,5794,19,Home,D,0.0,0.0,0.6,1.0,58.0,1253.0,4-2-3-1,4-4-2
2021,85,18711,19467,36,Away,L,2.0,3.0,1.4,1.9,55.0,624.0,4-3-3,4-3-3
2021,86,18711,18741,37,Away,W,2.0,1.0,1.4,0.8,40.0,514.0,4-2-3-1,4-2-3-1
2021,87,18711,9616,38,Home,W,2.0,1.0,1.1,3.3,29.0,514.0,4-2-3-1,3-4-3
2021,88,19453,9616,01,Home,L,1.0,3.0,1.1,1.2,52.0,759.0,3-5-2,4-2-2-2
2021,89,19453,18716,02,Away,W,3.0,0.0,1.8,0.5,53.0,759.0,3-4-3,4-4-2
2021,90,19453,18656,03,Home,L,2.0,3.0,2.5,1.5,53.0,759.0,3-4-3,4-2-3-1
2021,91,19453,5794,04,Away,L,2.0,4.0,1.3,1.6,57.0,759.0,3-4-3,4-3-3
2021,92,19453,19467,05,Away,D,1.0,1.0,1.7,0.8,66.0,759.0,3-4-3,4-4-2
2021,93,19453,18744,06,Home,D,1.0,1.0,0.5,0.4,50.0,18.0,3-4-3,4-1-4-1
2021,94,19453,18741,07,Away,L,1.0,2.0,0.3,1.7,56.0,18.0,3-5-1-1,4-2-3-1
2021,95,19453,19458,08,Home,D,0.0,0.0,1.5,0.5,59.0,18.0,5-3-2,4-4-2
2021,58,19453,18711,09,Away,W,2.0,1.0,1.4,1.5,44.0,759.0,3-4-1-2,4-2-3-1
2021,96,19453,1130849,10,Home,D,1.0,1.0,2.3,0.2,40.0,759.0,3-4-1-2,4-3-3
2021,97,19453,18732,11,Home,L,1.0,2.0,1.9,1.4,48.0,759.0,3-4-1-2,4-4-2
2021,98,19453,19481,12,Away,L,0.0,3.0,0.9,1.5,46.0,759.0,4-2-3-1,3-4-3
2021,99,19453,18708,13,Away,D,0.0,0.0,0.5,1.0,54.0,759.0,3-4-3,3-4-3
2021,100,19453,19607,14,Home,D,1.0,1.0,2.8,0.5,73.0,759.0,3-4-3,5-3-2
2021,101,19453,18747,15,Away,D,2.0,2.0,1.1,1.3,56.0,759.0,3-4-3,3-4-1-2
2021,29,19453,9617,16,Home,L,0.0,1.0,0.8,1.1,50.0,759.0,3-5-2,4-2-3-1
2021,102,19453,19500,17,Home,D,3.0,3.0,2.2,1.6,54.0,759.0,3-4-3,4-2-3-1
2021,103,19453,50602,18,Away,L,0.0,1.0,0.2,2.0,35.0,759.0,4-1-2-1-2◆,4-3-3
2021,104,19453,1128631,19,Away,W,1.0,0.0,1.4,0.3,34.0,759.0,3-4-3,4-1-4-1
2021,105,19453,18708,20,Home,D,0.0,0.0,1.8,0.5,50.0,759.0,3-5-2,3-4-3
2021,106,19453,18741,21,Home,W,1.0,0.0,1.6,0.4,43.0,759.0,3-4-3,3-4-3
2021,107,19453,1130849,22,Away,W,1.0,0.0,1.3,1.0,37.0,759.0,3-5-2,4-3-3
2021,108,19453,19458,23,Away,D,1.0,1.0,0.5,1.8,45.0,759.0,3-4-1-2,4-4-2
2021,71,19453,18711,24,Home,D,0.0,0.0,2.2,0.1,58.0,759.0,4-1-3-2,4-2-3-1
2021,109,19453,19467,25,Home,L,1.0,2.0,2.4,0.2,74.0,759.0,4-4-2,4-3-3
2021,110,19453,18744,26,Away,L,0.0,1.0,2.9,0.8,68.0,759.0,4-2-3-1,4-1-4-1
2021,111,19453,19481,27,Home,L,1.0,2.0,0.8,0.9,37.0,759.0,4-4-2,3-1-4-2
2021,112,19453,18732,28,Away,W,2.0,1.0,0.8,0.6,41.0,759.0,4-4-2,4-4-2
2021,113,19453,18716,29,Home,W,3.0,0.0,0.9,0.1,65.0,759.0,3-4-1-2,4-3-3
2021,114,19453,18656,30,Away,L,1.0,2.0,1.2,1.5,43.0,759.0,3-4-1-2,4-2-3-1
2021,115,19453,5794,31,Home,D,0.0,0.0,1.2,0.4,55.0,759.0,3-4-3,5-3-2
2021,116,19453,9616,32,Away,D,0.0,0.0,0.5,0.7,36.0,759.0,3-1-4-2,3-4-3
2021,117,19453,19607,33,Away,L,0.0,1.0,2.0,0.7,68.0,759.0,3-4-1-2,3-4-1-2
2021,118,19453,1128631,34,Home,W,2.0,0.0,2.3,0.6,42.0,759.0,3-4-1-2,4-1-4-1
2021,119,19453,19500,35,Away,L,1.0,2.0,0.3,1.1,39.0,759.0,4-4-1-1,4-2-3-1
2021,120,19453,18747,36,Home,D,1.0,1.0,0.8,1.7,51.0,1016.0,3-4-3,4-2-3-1
2021,121,19453,50602,37,Home,W,3.0,2.0,1.1,0.9,63.0,1016.0,3-5-2,4-3-3
2021,51,19453,9617,38,Away,L,0.0,2.0,0.2,0.8,46.0,759.0,4-3-3,4-2-3-1
2021,122,19458,19481,02,Away,L,2.0,4.0,1.4,1.2,33.0,111.0,4-4-2,4-1-4-1
2021,123,19458,18732,03,Home,L,0.0,1.0,0.5,0.6,53.0,111.0,4-4-2,4-4-2
2021,124,19458,18716,04,Away,L,1.0,3.0,0.4,1.8,52.0,111.0,4-4-2,4-4-2
2021,125,19458,18744,05,Away,D,0.0,0.0,1.1,0.8,43.0,111.0,4-4-2,4-1-4-1
2021,126,19458,18741,06,Home,L,0.0,1.0,1.0,0.6,39.0,111.0,4-4-2,4-2-3-1
2021,127,19458,9616,07,Home,L,0.0,3.0,0.5,0.9,37.0,111.0,4-4-2,4-3-3
2021,95,19458,19453,08,Away,D,0.0,0.0,0.5,1.5,41.0,133.0,4-4-2,5-3-2
2021,128,19458,19467,09,Home,W,1.0,0.0,1.5,1.5,46.0,133.0,4-4-2,4-4-2
